Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
0,-2323.091212644975,-2323.091212644975,-2323.091212644975,-2427.381349042569,-2427.381349042569,-2427.381349042569
1,-2323.0912126449753,-16.845919647507845,-2633.175914288035,-2427.3813490425678,-153.14140902720104,-2744.811285983424
2,-2544.742966859091,-535.3998974999236,-2855.7371363054463,-2611.8157134008734,-516.4261859087392,-2860.9206832544546
3,-2648.627066728599,-806.1753106665445,-2967.3384115829645,-2714.723499646822,-777.571020324033,-3010.1395047125266
4,-2844.8720777879166,-915.2361502523022,-3138.884588406298,-2901.4428077875723,-913.2951699895962,-3073.429631065257
5,-3015.9399516565686,-997.8406350754644,-3243.2581295316168,-3025.9800301190553,-1032.063606428975,-3194.0658921085255
6,-3252.2735037321877,-1061.838072246777,-3279.802587715753,-3254.5837906963047,-1085.0133700840086,-3235.5494695795624
7,-3357.8789415896376,-1133.724966798004,-3328.393643993776,-3520.626045349062,-1130.9354538690238,-3279.015312303068
8,-3576.754264548883,-1193.2327093874865,-3362.799406157224,-3591.3292283852875,-1203.9216970335222,-3344.306660460353
9,-3674.4584977870095,-1241.896577883272,-3398.6332694249863,-3719.2480733785465,-1234.2276771729926,-3387.633626636477
10,-3867.9082563063257,-1278.762528086469,-3439.9041101247794,-3900.674555601446,-1323.6033166692077,-3407.1870531296504
11,-4046.5837396786123,-1339.955917200501,-3559.723873968831,-4070.1697371945816,-1344.2565392920922,-3438.391852010758
12,-4136.632613783726,-1344.6641875348546,-3577.571560365736,-4212.6906550962485,-1414.6307758696778,-3459.1057019589657
13,-4251.08545552284,-1362.8489704933932,-3598.9983098520415,-4330.020261905962,-1449.2581104597186,-3515.9847337275446
14,-4419.847956313995,-1379.4795109636034,-3617.289005946354,-4504.955902047503,-1486.6077056558397,-3571.4463440739123
15,-4580.1551638855535,-1415.3225728645357,-3639.1509826060765,-4733.98096700928,-1535.2835926534522,-3600.857656282768
