Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
0,-0.06333584729088677,-0.06333584729088677,-0.06333584729088677,-0.030651632229652143,-0.030651632229652143,-0.030651632229652143
1,-0.06333584729088679,-0.06333584729088679,-0.6428459492058203,-0.030651632229652125,-0.030651632229652125,-0.6795458521002113
2,-0.6148563059225153,-0.6148563059225153,-0.8852258489790842,-0.7218859052433743,-0.7218859052433743,-0.870640135644213
3,-0.804622070183958,-0.804622070183958,-0.9627932046452219,-0.9025431994793235,-0.9025431994793235,-0.9801042324418563
4,-0.9202195019918499,-0.9202195019918499,-0.997955217572935,-0.9440856657488298,-0.9440856657488298,-1.0076973772104214
5,-0.9675233326798165,-0.9675233326798165,-1.0186913095908996,-0.9728290357012228,-0.9728290357012228,-1.0209185844343034
6,-0.9963855699939326,-0.9963855699939326,-1.0249499530269437,-0.9915414214498405,-0.9915414214498405,-1.0273936730929523
7,-1.0105178101346852,-1.0105178101346852,-1.0278582822138551,-1.0072969497243098,-1.0072969497243098,-1.0295342924319528
8,-1.0180909457789213,-1.0180909457789213,-1.0301070100650098,-1.0170827942743856,-1.0170827942743856,-1.0305596332312938
9,-1.0233070109141713,-1.0233070109141713,-1.0309042341597203,-1.0221249641165788,-1.0221249641165788,-1.0309617903640662
10,-1.02712629672623,-1.02712629672623,-1.0312809617030512,-1.0252792439356326,-1.0252792439356326,-1.0312849299817008
11,-1.0287047158070874,-1.0287047158070874,-1.0314969522595512,-1.0275783972735695,-1.0275783972735695,-1.0315151849351816
12,-1.0296365732401462,-1.0296365732401462,-1.0315743710815588,-1.029523624422862,-1.029523624422862,-1.0315722323886
13,-1.030318706207307,-1.030318706207307,-1.0315949752433138,-1.0300947116753023,-1.0300947116753023,-1.0315965103362676
14,-1.0309068596426496,-1.0309068596426496,-1.0316121767508664,-1.0306248459416025,-1.0306248459416025,-1.0316111918876714
15,-1.0311788326416536,-1.0311788326416536,-1.0316237282172365,-1.0310186148605907,-1.0310186148605907,-1.0316216300298742
16,-1.0312902747592028,-1.0312902747592028,-1.0316264982572974,-1.0311269934589893,-1.0311269934589893,-1.0316262599463706
17,-1.0313897031917636,-1.0313897031917636,-1.0316277448609315,-1.0312789004016667,-1.0312789004016667,-1.0316277675076222
18,-1.0314957997978111,-1.0314957997978111,-1.0316281515875736,-1.0313783265719751,-1.0313783265719751,-1.0316281578735913
19,-1.031553680617239,-1.031553680617239,-1.0316283019532542,-1.0314750124449334,-1.0314750124449334,-1.0316282776251287
20,-1.0315702565576994,-1.0315702565576994,-1.0316284015281523,-1.031533859666241,-1.031533859666241,-1.0316283730783082
21,-1.031606286980713,-1.031606286980713,-1.0316284423024773,-1.0315630579437443,-1.0315630579437443,-1.0316284334340902
22,-1.0316141628369817,-1.0316141628369817,-1.0316284486657346,-1.031591948798349,-1.031591948798349,-1.0316284406575469
23,-1.031620013340422,-1.031620013340422,-1.0316284523872425,-1.031601112221543,-1.031601112221543,-1.0316284491278773
24,-1.0316245759507203,-1.0316245759507203,-1.0316284527552282,-1.0316075323755896,-1.0316075323755896,-1.031628452612677
25,-1.031626010785895,-1.031626010785895,-1.0316284532726692,-1.0316185032225476,-1.0316185032225476,-1.0316284527109851
26,-1.0316270365506022,-1.0316270365506022,-1.031628453453842,-1.0316207178539354,-1.0316207178539354,-1.03162845311062
27,-1.0316273155461975,-1.0316273155461975,-1.0316284534639342,-1.031623191992831,-1.031623191992831,-1.0316284534324285
28,-1.0316277657468198,-1.0316277657468198,-1.031628453485078,-1.0316259698753725,-1.0316259698753725,-1.0316284534866187
29,-1.0316279289036683,-1.0316279289036683,-1.0316284534881464,-1.031626797960021,-1.031626797960021,-1.031628453487656
30,-1.031628160925298,-1.031628160925298,-1.0316284534891984,-1.0316275510889878,-1.0316275510889878,-1.0316284534885007
31,-1.0316282268090122,-1.0316282268090122,-1.031628453489665,-1.0316277118568749,-1.0316277118568749,-1.031628453489507
32,-1.0316282781093231,-1.0316282781093231,-1.0316284534897768,-1.0316282253557048,-1.0316282253557048,-1.0316284534896527
33,-1.0316282952130629,-1.0316282952130629,-1.031628453489838,-1.03162830467116,-1.03162830467116,-1.031628453489822
34,-1.0316283154724102,-1.0316283154724102,-1.0316284534898685,-1.0316283151285766,-1.0316283151285766,-1.0316284534898512
35,-1.0316284051966773,-1.0316284051966773,-1.0316284534898736,-1.0316283890058937,-1.0316283890058937,-1.03162845348986
36,-1.0316284157665856,-1.0316284157665856,-1.031628453489877,-1.0316284119199741,-1.0316284119199741,-1.031628453489872
37,-1.0316284270620633,-1.0316284270620633,-1.0316284534898776,-1.0316284174205854,-1.0316284174205854,-1.0316284534898768
38,-1.0316284290447502,-1.0316284290447502,-1.031628453489878,-1.0316284380211076,-1.0316284380211076,-1.0316284534898776
39,-1.031628431389197,-1.031628431389197,-1.031628453489878,-1.0316284430775968,-1.0316284430775968,-1.031628453489878
40,-1.0316284324027685,-1.0316284324027685,-1.031628453489878,-1.031628443515087,-1.031628443515087,-1.031628453489878
41,-1.0316284524149968,-1.0316284524149968,-1.031628453489878,-1.031628447646457,-1.031628447646457,-1.031628453489878
42,-1.031628452872149,-1.031628452872149,-1.031628453489878,-1.0316284519742125,-1.0316284519742125,-1.031628453489878
43,-1.0316284531223607,-1.0316284531223607,-1.031628453489878,-1.0316284528526554,-1.0316284528526554,-1.031628453489878
44,-1.0316284532045479,-1.0316284532045479,-1.031628453489878,-1.0316284529295168,-1.0316284529295168,-1.031628453489878
45,-1.0316284532893885,-1.0316284532893885,-1.031628453489878,-1.0316284531403954,-1.0316284531403954,-1.031628453489878
46,-1.0316284533391247,-1.0316284533391247,-1.031628453489878,-1.0316284532337912,-1.0316284532337912,-1.031628453489878
47,-1.0316284533626516,-1.0316284533626516,-1.031628453489878,-1.0316284533609927,-1.0316284533609927,-1.031628453489878
48,-1.031628453446426,-1.031628453446426,-1.031628453489878,-1.0316284534195959,-1.0316284534195959,-1.031628453489878
49,-1.031628453456297,-1.031628453456297,-1.031628453489878,-1.0316284534264875,-1.0316284534264875,-1.031628453489878
50,-1.031628453466038,-1.031628453466038,-1.031628453489878,-1.0316284534394422,-1.0316284534394422,-1.031628453489878
51,-1.0316284534704865,-1.0316284534704865,-1.031628453489878,-1.0316284534613507,-1.0316284534613507,-1.031628453489878
52,-1.0316284534748896,-1.0316284534748896,-1.031628453489878,-1.0316284534801317,-1.0316284534801317,-1.031628453489878
53,-1.0316284534772049,-1.0316284534772049,-1.031628453489878,-1.031628453482797,-1.031628453482797,-1.031628453489878
54,-1.0316284534834639,-1.0316284534834639,-1.031628453489878,-1.0316284534839875,-1.0316284534839875,-1.031628453489878
55,-1.0316284534857405,-1.0316284534857405,-1.031628453489878,-1.031628453485068,-1.031628453485068,-1.031628453489878
56,-1.0316284534877607,-1.0316284534877607,-1.031628453489878,-1.0316284534881144,-1.0316284534881144,-1.031628453489878
57,-1.0316284534883113,-1.0316284534883113,-1.031628453489878,-1.0316284534883449,-1.0316284534883449,-1.031628453489878
58,-1.031628453488791,-1.031628453488791,-1.031628453489878,-1.0316284534891589,-1.0316284534891589,-1.031628453489878
59,-1.0316284534894613,-1.0316284534894613,-1.031628453489878,-1.0316284534892726,-1.0316284534892726,-1.031628453489878
60,-1.0316284534896305,-1.0316284534896305,-1.031628453489878,-1.0316284534894196,-1.0316284534894196,-1.031628453489878
61,-1.0316284534897184,-1.0316284534897184,-1.031628453489878,-1.0316284534895872,-1.0316284534895872,-1.031628453489878
62,-1.0316284534897537,-1.0316284534897537,-1.031628453489878,-1.031628453489638,-1.031628453489638,-1.031628453489878
63,-1.0316284534898,-1.0316284534898,-1.031628453489878,-1.0316284534897948,-1.0316284534897948,-1.031628453489878
64,-1.0316284534898092,-1.0316284534898092,-1.031628453489878,-1.0316284534898224,-1.0316284534898224,-1.031628453489878
65,-1.0316284534898439,-1.0316284534898439,-1.031628453489878,-1.0316284534898268,-1.0316284534898268,-1.031628453489878
66,-1.0316284534898477,-1.0316284534898477,-1.031628453489878,-1.0316284534898343,-1.0316284534898343,-1.031628453489878
67,-1.031628453489861,-1.031628453489861,-1.031628453489878,-1.0316284534898486,-1.0316284534898486,-1.031628453489878
68,-1.0316284534898639,-1.0316284534898639,-1.031628453489878,-1.0316284534898665,-1.0316284534898665,-1.031628453489878
69,-1.0316284534898723,-1.0316284534898723,-1.031628453489878,-1.0316284534898676,-1.0316284534898676,-1.031628453489878
70,-1.031628453489874,-1.031628453489874,-1.031628453489878,-1.031628453489873,-1.031628453489873,-1.031628453489878
71,-1.0316284534898765,-1.0316284534898765,-1.031628453489878,-1.0316284534898745,-1.0316284534898745,-1.031628453489878
72,-1.031628453489877,-1.031628453489877,-1.031628453489878,-1.031628453489875,-1.031628453489875,-1.031628453489878
73,-1.0316284534898776,-1.0316284534898776,-1.031628453489878,-1.0316284534898756,-1.0316284534898756,-1.031628453489878
74,-1.0316284534898776,-1.0316284534898776,-1.031628453489878,-1.0316284534898772,-1.0316284534898772,-1.031628453489878
75,-1.0316284534898779,-1.0316284534898779,-1.031628453489878,-1.0316284534898776,-1.0316284534898776,-1.031628453489878
76,-1.0316284534898779,-1.0316284534898779,-1.031628453489878,-1.0316284534898779,-1.0316284534898779,-1.031628453489878
77,-1.0316284534898779,-1.0316284534898779,-1.031628453489878,-1.0316284534898779,-1.0316284534898779,-1.031628453489878
78,-1.0316284534898779,-1.0316284534898779,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
79,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
80,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
81,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
82,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
83,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
84,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
85,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
86,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
87,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
88,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
89,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
90,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878,-1.031628453489878
