Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
0,34535593.73511575,34535593.73511575,34535593.73511575,34047059.45329837,34047059.45329837,34047059.45329837
1,34535593.73511574,5003084.750408555,32744200.922938436,34047059.45329836,4982869.813864551,31835625.607406322
2,32000953.217031546,140674.50793230656,29956286.98529191,30749505.976785146,141177.96909792817,28838759.727261662
3,29597856.098547235,140674.50793230656,27217644.353663713,29255037.421346754,141177.96909792817,26073463.8535559
4,26535182.507264577,133630.87453934317,24849937.408390522,25883850.99175078,120201.63759109918,24021374.122336183
5,23358882.705942772,78491.37192081558,22013346.132900115,21601728.064207893,102579.56638512015,21868117.00510453
6,21197684.759759728,78491.37192081558,20452506.577080846,19701207.314150468,101993.91445904599,19354716.85574535
7,20050805.12934618,49005.97402013498,18454289.253637105,18499362.15290598,60649.354651125475,17513081.3875654
8,18963446.70220839,47783.55948584547,16651812.447016258,16277307.38840585,59846.04198975481,16048297.441353748
9,16952356.856114075,44180.197733618224,15209372.388793126,14628141.381072495,53216.95632009758,14934628.058461081
10,15489448.800203495,44114.81771858418,13654784.667924322,13803350.017988807,53216.95632009758,13654151.813270498
11,14032299.566560347,37844.540303379836,12531856.180456035,12250834.637913212,45862.58815276278,11797296.649137449
12,12221852.975391839,37529.590255520336,11253215.036329871,11068908.67204164,45862.58815276278,10809066.625009181
13,11143810.22007657,34486.634430771715,10604864.151032817,10249990.258980872,37159.55655934721,9753711.948907305
14,10254618.133017505,33897.10142297954,9981373.586035363,9325999.754408116,37159.55655934721,8910234.078136252
15,9284520.284307897,27410.05437157619,8858177.571722055,8205414.582422754,32367.466496929614,8348020.205009928
16,8155363.924100207,25836.047468371908,8092202.50528006,7563519.267239583,32367.466496929614,7648034.861450739
17,7577347.408854905,21713.971754044414,7193782.632146889,6859204.253784992,29323.4350080623,6997629.543264214
18,6886842.6581066605,20441.416203046752,6483398.3280101195,6399524.86993275,29323.4350080623,6561051.1496896325
19,6284347.355446296,15903.493990955287,5889921.322256781,5970102.146871089,26700.447851832007,6178842.489614015
20,5889622.786151753,15201.655591835584,5345870.469155733,5534444.984809559,26700.447851832007,5684834.8625785895
21,5435527.249322967,12169.805992794309,5073721.74361315,5264968.143174253,24623.457914731283,5393743.614186079
22,4921210.68858471,11237.802637479977,4954391.564024113,4736233.151941823,24623.457914731283,5103859.323971509
23,4623983.373207108,9021.570957470773,4549656.493470298,4398646.862909567,22078.642183381264,4579963.246511356
24,4331205.775554216,8447.03932836106,4354563.723559835,4196656.388916153,22078.642183381264,4345676.4107118035
25,4072045.9348750706,6745.519996574247,4030984.885282868,3922521.0585516463,20996.522061505675,3942839.6753532495
26,3813900.8229079484,6495.3367002806335,3848847.726464789,3663886.0239600088,20996.522061505675,3745921.927513374
27,3587716.115016909,5420.402773083116,3609625.6932046367,3395703.6612948193,20241.755188811774,3416124.7779577826
28,3388201.180323443,5138.155795021738,3349962.4052612204,3166190.4240979636,20241.755188811774,3167371.12072386
29,3202240.3276714724,4190.873905123023,3167189.745117491,2989369.294061929,19660.69555863306,2963599.238026168
30,2969312.243974778,4172.557174738038,2834235.7873463524,2845045.6578217535,19660.69555863306,2771310.3099012417
31,2760442.337787436,3333.9698775474944,2709780.0969878463,2632733.0960149984,18507.079859216174,2509779.7364369584
32,2586365.1775908777,3248.433167092853,2434832.124414106,2510037.300000815,18507.079859216174,2375030.2443280453
33,2476097.8516481803,2915.497998052366,2252041.2047463055,2240705.625438722,17965.090897261318,2206478.3110867543
34,2320979.3027955857,2823.9187845177453,2143991.6366469795,2113829.988685295,17965.090897261318,2075565.5899079037
35,2193170.027089507,2354.76340299977,2055898.136557298,1969228.9146279893,17208.320305803943,1953598.5382016294
36,2067723.5090496605,2316.7877436708527,1941403.0783812571,1859229.7961914898,17208.320305803943,1834428.4529555284
37,1954828.275990799,1959.7115812730854,1766859.6672099484,1724003.6229374395,16024.818436192474,1738308.4910434901
38,1876252.6566348674,1908.405117729737,1671301.7626160274,1599143.3010204956,16024.818436192474,1633614.1979103696
39,1748916.0996529164,1628.1249786598567,1570046.2206597251,1544743.1270909356,15160.684969175125,1522943.2168581306
40,1617402.3666961456,1591.2801690604413,1468711.1023930644,1457669.5239056281,15160.684969175125,1446085.6685808746
41,1549336.9836208702,1242.520908532774,1395634.0628079236,1359752.4296514513,14137.35160017042,1412492.3663464347
42,1468590.0442535065,1194.5980773576778,1287450.382409237,1299152.0955064022,14137.35160017042,1344854.0134854175
43,1382855.298198997,875.5686257856382,1209595.7700357016,1251817.789936367,13662.167344362784,1295360.2900753943
44,1311995.1165852176,853.0751693633233,1142484.176554906,1186628.5280251794,13662.167344362784,1190016.6398051374
45,1245479.9256209168,711.0156292261121,1085909.9393681004,1154842.513915314,12876.890306479538,1081806.7436489891
46,1185556.1108971543,691.0917905341489,1027763.3440434317,1085037.5758456984,12876.890306479538,1010031.9445585961
47,1129614.9162774468,562.0980017992448,971222.3872597136,1010389.973030201,12567.434614771368,970481.5820103548
48,1100592.1970087064,548.920035936406,910526.6536417648,962582.2115828362,12567.434614771368,929056.437350012
49,1042656.1503360014,454.23002219923626,846426.682446435,926968.8691326428,12364.73782787036,876564.2120699636
50,991925.7583393515,430.288063309666,796826.3304121813,874972.389712469,12364.73782787036,817927.5264226109
51,961126.063302678,315.9669372318883,741721.7721658611,828499.4152213498,11946.004839690957,765099.6938709891
52,926865.6420121372,285.99865577325147,706343.4250597766,787538.8603681982,11946.004839690957,718472.4722953284
53,884668.9131440815,233.31961162908638,655525.3800651089,762219.4376208131,11523.105837702959,697753.3704510578
54,850236.2432512584,228.03877290136484,614936.8917029435,732130.6121654379,11523.105837702959,653853.8060133334
55,805386.4173310768,177.5602810670449,584366.7937786373,699294.7997179494,10871.551040974191,626912.4409638239
56,780000.4559560154,161.17322941478798,553780.27670484,672126.4873864172,10871.551040974191,571963.5571891034
57,757568.3790068275,128.8290257043293,525690.4567235695,636184.9461470222,10138.974094688483,538202.5283166136
58,715290.7619899657,121.33558813377414,496003.5034387801,611810.79432935,10138.974094688483,502488.78896566166
59,694492.1909509017,89.24605585625295,475369.47363915126,593919.5967311722,9869.87547821403,456889.0240035506
60,676778.8137196866,84.86240438152907,457138.6057702968,570537.5773895372,9869.87547821403,445705.1012349323
61,654160.9983497247,62.87776861784011,441635.07110648527,552023.4264649632,9722.016506363423,432467.3205318203
62,635783.4935930297,60.829217708421055,413025.83207521914,542354.2155088725,9722.016506363423,414527.9088082106
63,612736.2355524102,46.52394697448794,384551.5052683117,527359.0885835646,9400.042320631619,384486.1557112145
64,588692.1937809658,42.844971758937035,369984.8190837261,512044.7931430422,9400.042320631619,351085.1469919548
65,569862.2555586626,32.90271404780506,358974.62566169054,499081.47028116544,8967.211304845405,337432.8806477967
66,553438.8066060125,29.68604662917416,337532.30284684047,486183.53411960014,8967.211304845405,316577.0144936887
67,534215.6705212608,21.957625096378305,318294.9120185824,472919.5184696889,8560.858056190807,296266.7231044757
68,520310.8907905179,20.030124333282057,297229.44084585673,463464.4534520565,8560.858056190807,281115.9987559858
