Iter,PSO500,GSA500,ABC500,PSO2500,GSA2500,ABC2500
1,-2317.7106830793205,-2261.180821264004,-2730.8295659469504,-2407.0669620149984,-2360.689780767312,-2682.787162523768
2,-2491.086211458931,-2478.265082032358,-2920.926947866134,-2558.649087249121,-2546.8657257739246,-2860.4106652835817
3,-2713.4759822988954,-2597.2639193563355,-3106.4704062654764,-2726.7329124098505,-2636.6059045846323,-2997.5418459688517
4,-2774.9012015639537,-2668.125784715168,-3170.137745306715,-2877.6668604991078,-2662.515430421324,-3077.658807480288
5,-3035.7474366937886,-2687.616713321369,-3217.0977847648237,-3068.68990869447,-2665.8007241137607,-3171.7223878785085
6,-3160.938918834555,-2687.616713321369,-3299.1670335429462,-3266.5552185737743,-2692.778204213813,-3265.3710020885155
7,-3287.818849220452,-2693.0261476001265,-3363.8535184477455,-3390.390522392845,-2702.6197066206714,-3334.759518024795
8,-3516.82129481292,-2700.645588150576,-3426.0606940001053,-3548.051104710999,-2708.2487754154504,-3347.4194129813272
9,-3733.182147976543,-2704.035424004483,-3466.9726891361033,-3724.870790513846,-2712.969609793437,-3397.450658907318
10,-3845.1098507591164,-2708.6255030015377,-3550.0539110251348,-3872.4887655734124,-2712.969609793437,-3447.4177333112248
11,-4016.926463349248,-2708.6255030015377,-3571.4626419364363,-4074.8850688018015,-2712.969609793437,-3510.147960151328
12,-4154.447026108516,-2708.6255030015377,-3578.264579425597,-4224.864366333315,-2712.969609793437,-3536.1920411787432
13,-4335.047548356427,-2708.6255030015377,-3628.0556176246587,-4339.321231581957,-2712.969609793437,-3563.786276582485
14,-4470.278728255814,-2708.6255030015377,-3662.9120961756016,-4559.344467998288,-2712.969609793437,-3626.5770139364968
15,-4695.3298946456125,-2708.6255030015377,-3700.5495566222394,-4699.367701998274,-2712.969609793437,-3641.8124276479625
16,-4884.551155915936,-2708.6255030015377,-3734.274623016576,-4818.00337499448,-2712.969609793437,-3649.7726748206132
17,-4978.196572239484,-2708.6255030015377,-3763.941463033894,-4976.2308941368,-2712.969609793437,-3666.9045945182957
18,-5090.5863700075315,-2708.6255030015377,-3811.4977342226775,-5087.941196741894,-2712.969609793437,-3744.0933263091492
19,-5231.819328149491,-2708.6255030015377,-3854.1797421090278,-5199.69632754307,-2712.969609793437,-3786.8043913617958
20,-5350.935410539405,-2708.6255030015377,-3888.579137217114,-5284.8327265826265,-2712.969609793437,-3813.560982871197
21,-5484.001794589605,-2708.6255030015377,-3912.1990026864055,-5421.390828728067,-2712.969609793437,-3881.5163693142295
22,-5617.106065757128,-2708.6255030015377,-3928.921292739056,-5528.2300343370725,-2712.969609793437,-3922.9645562533037
23,-5708.6461210075195,-2708.6255030015377,-3935.1914168873564,-5631.585643018626,-2712.969609793437,-3955.314851700573
24,-5798.5265354047,-2708.6255030015377,-3942.0286374764873,-5719.386434324266,-2712.969609793437,-3980.113639489373
25,-5905.474393506244,-2708.6255030015377,-3943.59041135417,-5813.735613764864,-2712.969609793437,-4001.4772664125417
26,-6008.516459706874,-2708.6255030015377,-3952.636940705288,-5921.916551086221,-2712.969609793437,-4003.6230994211114
27,-6119.326740380165,-2708.6255030015377,-3988.4655590602065,-6007.571735595622,-2712.969609793437,-4015.1477208892884
28,-6260.462159092837,-2708.6255030015377,-4023.964777105349,-6105.435374633468,-2712.969609793437,-4035.4377411856444
29,-6361.869129832024,-2708.6255030015377,-4030.3901769562076,-6228.6315467510685,-2712.969609793437,-4072.2959220959597
30,-6487.647226222059,-2708.6255030015377,-4042.4244435540795,-6306.307585144872,-2712.969609793437,-4080.4123816069346
31,-6518.903794553805,-2708.6255030015377,-4053.5116362567,-6362.942293492656,-2712.969609793437,-4093.4291045178393
32,-6586.562733219008,-2708.6255030015377,-4085.1668568136247,-6477.953050237766,-2712.969609793437,-4132.804821829159
33,-6685.510850456249,-2708.6255030015377,-4096.56954713879,-6582.048395098669,-2712.969609793437,-4148.369878474105
34,-6767.642266041104,-2708.6255030015377,-4121.525633670539,-6636.366825557838,-2712.969609793437,-4172.229299568857
35,-6858.393829893834,-2708.6255030015377,-4131.095006365677,-6719.9417852322385,-2712.969609793437,-4186.513802853113
36,-6901.824248124592,-2708.6255030015377,-4133.575341203224,-6791.769244147518,-2712.969609793437,-4228.156295411822
37,-6971.964059893628,-2708.6255030015377,-4161.736121012361,-6849.1810499387475,-2712.969609793437,-4239.83423500498
38,-7120.046271276572,-2708.6255030015377,-4171.845674017381,-6902.4844167020665,-2712.969609793437,-4285.845045709654
39,-7169.178367443337,-2708.6255030015377,-4184.218469099993,-6966.455904540172,-2712.969609793437,-4310.7881244530945
40,-7219.737977775611,-2708.6255030015377,-4216.048810692704,-7028.440678480718,-2712.969609793437,-4345.020770041722
41,-7276.977825332009,-2708.6255030015377,-4235.292850044182,-7068.767158036745,-2712.969609793437,-4362.555233816026
42,-7307.300304481618,-2708.6255030015377,-4279.728995583291,-7146.98194974287,-2712.969609793437,-4396.064898817722
43,-7388.5332387501385,-2708.6255030015377,-4308.18468368704,-7230.436042905764,-2712.969609793437,-4443.087381538202
44,-7423.482889732844,-2708.6255030015377,-4347.2912793099995,-7285.454952439742,-2712.969609793437,-4494.882834839485
45,-7469.370922553253,-2708.6255030015377,-4362.737156247857,-7322.004871238087,-2712.969609793437,-4537.37475845533
46,-7523.6619428689255,-2708.6255030015377,-4396.138396184792,-7360.050531344423,-2712.969609793437,-4570.127941753602
47,-7593.418505084955,-2708.6255030015377,-4401.147916431414,-7410.210177432259,-2712.969609793437,-4597.023333989802
48,-7643.459187937231,-2708.6255030015377,-4469.164773900643,-7464.3631111543855,-2712.969609793437,-4637.530866354294
49,-7692.863884167225,-2708.6255030015377,-4500.3360269627765,-7530.88210663949,-2712.969609793437,-4686.1821970939845
50,-7742.857344514407,-2708.6255030015377,-4535.759822204105,-7573.563624307032,-2712.969609793437,-4732.432684593511
51,-7797.147760493114,-2708.6255030015377,-4588.616939260514,-7624.719588265844,-2712.969609793437,-4781.112178315925
52,-7824.103731285872,-2708.6255030015377,-4609.016684355327,-7668.256517229952,-2712.969609793437,-4825.167837251953
53,-7877.2538166818795,-2708.6255030015377,-4640.816912902362,-7708.105716078032,-2712.969609793437,-4836.705401499262
54,-7918.2504668396505,-2708.6255030015377,-4661.714960389963,-7746.011352715574,-2712.969609793437,-4882.577386883564
55,-7948.829404914712,-2708.6255030015377,-4686.417745092698,-7776.54335578703,-2712.969609793437,-4893.245461044336
56,-7987.6271124677805,-2708.6255030015377,-4733.550234031434,-7834.0308575554145,-2712.969609793437,-4905.162132141684
57,-8022.197002370668,-2708.6255030015377,-4785.030157982726,-7863.2125137564135,-2712.969609793437,-4951.817806276581
58,-8058.848237184098,-2708.6255030015377,-4819.4739095533905,-7913.655200974571,-2712.969609793437,-4961.015433758406
59,-8111.4018781457635,-2708.6255030015377,-4840.486261928243,-7954.873016502829,-2712.969609793437,-4985.598347455747
60,-8134.943802687195,-2708.6255030015377,-4885.672983761654,-7983.389115174393,-2712.969609793437,-5006.339784344045
61,-8160.242571978176,-2708.6255030015377,-4902.7169853050755,-8024.087949395313,-2712.969609793437,-5032.705778440743
62,-8187.143350874191,-2708.6255030015377,-4917.374970293703,-8049.655275324656,-2712.969609793437,-5088.624125729891
63,-8218.023194114556,-2708.6255030015377,-4981.448070438006,-8069.389369594749,-2712.969609793437,-5092.822974708047
64,-8249.132353729894,-2708.6255030015377,-5030.210527647836,-8089.460117190219,-2712.969609793437,-5127.014221272801
65,-8275.181101567981,-2708.6255030015377,-5107.698728075912,-8108.4000615720715,-2712.969609793437,-5184.4287163036515
66,-8305.357777098772,-2708.6255030015377,-5151.554293541256,-8132.935206675174,-2712.969609793437,-5216.532854309252
67,-8324.63992424874,-2708.6255030015377,-5206.946905882348,-8161.49565137932,-2712.969609793437,-5262.162737252007
68,-8360.661459997611,-2708.6255030015377,-5248.098833506682,-8189.460718471973,-2712.969609793437,-5318.159062927604
69,-8395.598987472811,-2708.6255030015377,-5296.293822787865,-8221.567680943008,-2712.969609793437,-5371.234597050996
70,-8419.333905857899,-2708.6255030015377,-5341.415834771332,-8243.603982328304,-2712.969609793437,-5401.415212608073
71,-8438.716997713398,-2708.6255030015377,-5401.523338900344,-8263.553816418556,-2712.969609793437,-5469.095092194949
72,-8467.955009604311,-2708.6255030015377,-5441.466908129729,-8290.232187657555,-2712.969609793437,-5490.082161676651
73,-8488.777481563828,-2708.6255030015377,-5512.894113084369,-8305.145206285648,-2712.969609793437,-5537.4303059569465
74,-8511.029716117982,-2708.6255030015377,-5534.596255871551,-8344.583249603444,-2712.969609793437,-5569.683880500699
75,-8542.102913245448,-2708.6255030015377,-5616.47295155079,-8363.482122398984,-2712.969609793437,-5593.105526853978
76,-8563.129412590944,-2708.6255030015377,-5655.745143618888,-8382.378206687885,-2712.969609793437,-5633.782807303098
77,-8580.15198390834,-2708.6255030015377,-5739.538724560416,-8401.706808706442,-2712.969609793437,-5660.909259727767
78,-8591.451271712673,-2708.6255030015377,-5777.6693654802875,-8415.697485650564,-2712.969609793437,-5700.941070720887
79,-8606.547411820746,-2708.6255030015377,-5848.018764853295,-8432.94206870673,-2712.969609793437,-5762.132066497696
80,-8622.02806329199,-2708.6255030015377,-5866.399045129871,-8455.706882327744,-2712.969609793437,-5807.148156570594
81,-8639.985021759205,-2708.6255030015377,-5896.855587357012,-8473.95277768739,-2712.969609793437,-5829.258600080472
82,-8653.080429322392,-2708.6255030015377,-5944.985555894073,-8491.534988258029,-2712.969609793437,-5854.2600162718245
83,-8663.103916248108,-2708.6255030015377,-5993.631793226057,-8518.60597246225,-2712.969609793437,-5905.865281338574
84,-8680.084238104771,-2708.6255030015377,-6030.177550787766,-8532.90767951421,-2712.969609793437,-5961.6132700643175
85,-8693.125566539366,-2708.6255030015377,-6046.867982011235,-8547.830165060755,-2712.969609793437,-6007.093962512615
86,-8701.745110311538,-2708.6255030015377,-6075.88413392515,-8563.466531633201,-2712.969609793437,-6041.221943238342
87,-8712.399247872965,-2708.6255030015377,-6150.952307974781,-8576.133907780011,-2712.969609793437,-6081.861423158282
88,-8725.078255286544,-2708.6255030015377,-6184.779453238555,-8585.652713913398,-2712.969609793437,-6102.703819643196
89,-8739.006265206646,-2708.6255030015377,-6193.515794406259,-8603.972742780354,-2712.969609793437,-6150.583579255118
90,-8749.572570644403,-2708.6255030015377,-6231.313668127048,-8615.40078226978,-2712.969609793437,-6177.727011551715
91,-8759.81425785653,-2708.6255030015377,-6265.197214587346,-8624.451156032961,-2712.969609793437,-6206.625079809593
92,-8773.42726413839,-2708.6255030015377,-6303.398076316564,-8636.483613033317,-2712.969609793437,-6254.7037261198975
93,-8783.68829922569,-2708.6255030015377,-6331.421341941402,-8651.071666637694,-2712.969609793437,-6287.449116333713
94,-8796.30263171631,-2708.6255030015377,-6382.467872687874,-8663.252839712,-2712.969609793437,-6339.800980193959
95,-8814.00226866489,-2708.6255030015377,-6412.014838567134,-8675.578871643365,-2712.969609793437,-6360.709520173378
96,-8827.212140332893,-2708.6255030015377,-6461.167949864294,-8683.860266181215,-2712.969609793437,-6403.97288183783
97,-8844.349303879142,-2708.6255030015377,-6530.050504953488,-8695.470164115213,-2712.969609793437,-6469.017834176435
98,-8858.957046313726,-2708.6255030015377,-6551.4631598166425,-8701.2910491482,-2712.969609793437,-6498.580192733224
99,-8872.263121323038,-2708.6255030015377,-6590.50417977421,-8712.713928073139,-2712.969609793437,-6549.183190333483
100,-8883.402977371357,-2708.6255030015377,-6623.135144733486,-8725.300183943116,-2712.969609793437,-6594.262037467124
101,-8895.141128397368,-2708.6255030015377,-6684.571054580552,-8737.580214498821,-2712.969609793437,-6655.135433388006
102,-8909.516899715609,-2708.6255030015377,-6723.271659776071,-8748.485855299912,-2712.969609793437,-6670.876088850709
103,-8919.543698704436,-2708.6255030015377,-6743.615525456408,-8764.80645863715,-2712.969609793437,-6694.675106866603
104,-8935.00832726023,-2708.6255030015377,-6759.964949782758,-8774.840189248309,-2712.969609793437,-6756.195329795289
105,-8946.964902332653,-2708.6255030015377,-6786.6822862925255,-8782.876057286187,-2712.969609793437,-6798.223640090465
106,-8952.189776089443,-2708.6255030015377,-6853.136278566206,-8790.327413299447,-2712.969609793437,-6836.569389549719
107,-8960.998002133772,-2708.6255030015377,-6910.698324875711,-8797.097935198775,-2712.969609793437,-6871.859892649733
108,-8979.756311444178,-2708.6255030015377,-6932.718749567717,-8808.27765455991,-2712.969609793437,-6873.855188120556
109,-8988.257783565768,-2708.6255030015377,-6965.063445033168,-8817.902156588998,-2712.969609793437,-6895.689042396494
110,-8994.976638778842,-2708.6255030015377,-7027.659259239806,-8826.850984945148,-2712.969609793437,-6966.025055330559
111,-8997.712377641506,-2708.6255030015377,-7073.744627660511,-8832.615915507515,-2712.969609793437,-7003.137508441421
112,-9001.531156967332,-2708.6255030015377,-7096.987467350052,-8838.84692699674,-2712.969609793437,-7023.513371185673
113,-9006.077199197036,-2708.6255030015377,-7099.750552889779,-8846.046003493508,-2712.969609793437,-7071.259500198256
114,-9009.906773882894,-2708.6255030015377,-7115.810623885289,-8854.413171568776,-2712.969609793437,-7105.391773476374
115,-9015.476261570322,-2708.6255030015377,-7152.173826925703,-8864.921368809506,-2712.969609793437,-7134.241478668788
116,-9019.445619672975,-2708.6255030015377,-7163.327433203268,-8874.091759816763,-2712.969609793437,-7173.690051363994
117,-9025.680234712863,-2708.6255030015377,-7203.028717344901,-8883.52951788963,-2712.969609793437,-7203.741608210431
118,-9032.667712085258,-2708.6255030015377,-7227.4501674748935,-8889.977184611047,-2712.969609793437,-7220.752166676202
119,-9044.84115846758,-2708.6255030015377,-7238.80041870157,-8896.544155137366,-2712.969609793437,-7236.038570873309
120,-9049.391050014705,-2708.6255030015377,-7259.747838488135,-8901.838585163321,-2712.969609793437,-7270.553295326212
121,-9062.38344490626,-2708.6255030015377,-7275.969149851948,-8907.17279526359,-2712.969609793437,-7324.542102580097
122,-9069.774633098055,-2708.6255030015377,-7317.72926741055,-8917.662533798593,-2712.969609793437,-7331.661819183068
123,-9076.231263139087,-2708.6255030015377,-7342.19735718962,-8925.591879878077,-2712.969609793437,-7345.243213302111
124,-9081.772480480651,-2708.6255030015377,-7359.648746962857,-8934.834201207788,-2712.969609793437,-7367.271098078078
125,-9089.928470784185,-2708.6255030015377,-7386.092685258224,-8944.193544392172,-2712.969609793437,-7384.30870051874
126,-9093.787804991742,-2708.6255030015377,-7408.279303181809,-8952.482605964069,-2712.969609793437,-7398.759567037571
127,-9101.4871075927,-2708.6255030015377,-7434.446093556234,-8962.213777277524,-2712.969609793437,-7433.179095837125
128,-9111.213717281094,-2708.6255030015377,-7453.835170243936,-8966.565993420832,-2712.969609793437,-7442.649410569603
129,-9118.004343110164,-2708.6255030015377,-7496.147500864783,-8971.14719579726,-2712.969609793437,-7481.419945678167
130,-9124.594898893301,-2708.6255030015377,-7527.40047581047,-8977.46740154605,-2712.969609793437,-7498.19807342785
131,-9131.79357788051,-2708.6255030015377,-7541.173654711011,-8979.838051785744,-2712.969609793437,-7517.301257225859
132,-9138.38730374672,-2708.6255030015377,-7560.127275326578,-8982.87247579676,-2712.969609793437,-7544.617600655617
133,-9145.446015226997,-2708.6255030015377,-7587.963809770914,-8989.620804354763,-2712.969609793437,-7577.734981247248
134,-9147.396464564075,-2708.6255030015377,-7638.563343583294,-8996.824871407809,-2712.969609793437,-7588.836817230949
135,-9149.370938436583,-2708.6255030015377,-7665.167750593927,-8999.86108291085,-2712.969609793437,-7597.692087155717
136,-9154.929780646133,-2708.6255030015377,-7682.999454427285,-9007.240394334045,-2712.969609793437,-7639.294339524769
137,-9159.75376980281,-2708.6255030015377,-7705.4917718039105,-9008.41443845257,-2712.969609793437,-7654.280714569284
138,-9165.06796989729,-2708.6255030015377,-7739.714018556999,-9012.170642394774,-2712.969609793437,-7669.657797422385
139,-9166.605537280771,-2708.6255030015377,-7762.964632308354,-9017.73949904585,-2712.969609793437,-7685.963419798083
140,-9169.208754710959,-2708.6255030015377,-7787.556598147394,-9021.223494075248,-2712.969609793437,-7696.495206186405
141,-9173.031914688092,-2708.6255030015377,-7814.574352766627,-9025.106743064487,-2712.969609793437,-7718.703145183635
142,-9181.08322131501,-2708.6255030015377,-7826.162604673258,-9026.562886787435,-2712.969609793437,-7734.483053295075
143,-9182.960518122623,-2708.6255030015377,-7834.072113345123,-9029.001457703178,-2712.969609793437,-7744.007781811512
144,-9187.33770500826,-2708.6255030015377,-7864.565848540773,-9034.440041289148,-2712.969609793437,-7755.007490805516
145,-9189.098021770755,-2708.6255030015377,-7892.4446167285505,-9040.589003787061,-2712.969609793437,-7771.181955909289
146,-9191.411138909043,-2708.6255030015377,-7903.896442040825,-9043.851064435732,-2712.969609793437,-7794.868263529095
147,-9193.48290351808,-2708.6255030015377,-7912.616454529783,-9046.321073499215,-2712.969609793437,-7812.123695420413
148,-9194.744961417844,-2708.6255030015377,-7962.1904900847285,-9049.637342627786,-2712.969609793437,-7833.810672380858
149,-9195.86005629952,-2708.6255030015377,-7976.236723635342,-9050.602117073026,-2712.969609793437,-7856.523756927323
150,-9197.266134387624,-2708.6255030015377,-8000.967738914928,-9056.51773907034,-2712.969609793437,-7889.127933243039
151,-9198.358024288349,-2708.6255030015377,-8016.241764750948,-9061.673223696107,-2712.969609793437,-7894.974134915765
152,-9206.300836096269,-2708.6255030015377,-8027.922144058966,-9064.339152938997,-2712.969609793437,-7905.839238066586
153,-9207.876478743528,-2708.6255030015377,-8035.67322602288,-9067.527227417404,-2712.969609793437,-7931.195453878817
154,-9209.015658945802,-2708.6255030015377,-8043.668027656062,-9071.459913008155,-2712.969609793437,-7947.208927006948
155,-9211.129873476793,-2708.6255030015377,-8058.83680908108,-9078.9023430867,-2712.969609793437,-7953.653440789432
156,-9215.384008051104,-2708.6255030015377,-8072.920580093473,-9085.156509801489,-2712.969609793437,-7963.5680024092835
157,-9219.721760240687,-2708.6255030015377,-8103.290273244543,-9087.465045409026,-2712.969609793437,-7992.420412738866
158,-9221.369261041576,-2708.6255030015377,-8110.9873680212095,-9093.10239244383,-2712.969609793437,-8002.204951850448
159,-9222.298927918515,-2708.6255030015377,-8128.89870669708,-9098.158557886392,-2712.969609793437,-8012.58037519851
160,-9223.863871841904,-2708.6255030015377,-8139.525854591281,-9099.278918804108,-2712.969609793437,-8050.975280313508
161,-9229.645808099978,-2708.6255030015377,-8147.814218524992,-9101.719521463445,-2712.969609793437,-8069.697425642378
162,-9231.475870734663,-2708.6255030015377,-8165.555620637786,-9105.15846895745,-2712.969609793437,-8081.044175635064
163,-9234.03500363875,-2708.6255030015377,-8183.88266422728,-9115.234872941142,-2712.969609793437,-8084.512469473778
164,-9235.249762997277,-2708.6255030015377,-8200.793454826467,-9118.246288727049,-2712.969609793437,-8094.237711180487
165,-9239.246951551853,-2708.6255030015377,-8220.905239284357,-9121.806591289067,-2712.969609793437,-8110.045442219773
166,-9242.76596555541,-2708.6255030015377,-8229.483572080242,-9124.067268495346,-2712.969609793437,-8114.052633348421
167,-9244.724259266053,-2708.6255030015377,-8239.378869194748,-9130.22309782731,-2712.969609793437,-8119.827459010517
